title,company,location,salary_min,salary_max,category,created
Data Engineer,Young's Employment Services Ltd,"London, UK",60000.0,70000.0,IT Jobs,2026-02-27T16:11:56Z
Data Engineer,True North Group,"London, UK",55000.0,65000.0,IT Jobs,2026-02-27T14:28:01Z
Data Engineer,Proactive Appointments,"Uxbridge, London",42500.0,47500.0,IT Jobs,2026-02-27T14:55:57Z
Data Engineer,Ncounter,"London, UK",75000.0,100000.0,IT Jobs,2026-02-27T14:56:54Z
Data Engineer,Lynx Recruitment Ltd,"London, UK",52221.56,52221.56,IT Jobs,2026-02-27T16:06:44Z
Data Engineer,Lynx Recruitment Ltd,"London, UK",55567.09,55567.09,IT Jobs,2026-02-27T14:29:48Z
Databricks Data Engineer,Tenth Revolution Group,"London, UK",104260.0,104260.0,IT Jobs,2026-02-27T14:26:42Z
Senior Data Engineer,Harnham - Data & Analytics Recruitment,"London, UK",80000.0,95000.0,IT Jobs,2026-02-27T14:30:25Z
Data Engineer - Databricks,TXP Technology x People,"London, UK",67769.34,67769.34,IT Jobs,2026-02-28T02:34:20Z
Databricks Data Engineer,Harnham - Data & Analytics Recruitment,"London, UK",130000.0,143000.0,IT Jobs,2026-02-27T22:34:37Z
Informatica Data Engineer,Method Resourcing,"London, UK",130000.0,136500.0,IT Jobs,2026-02-27T14:26:33Z
Senior Data Engineer,Harnham - Data & Analytics Recruitment,"London, UK",75000.0,90000.0,IT Jobs,2026-02-27T14:56:09Z
Senior Data Engineer,Cobalt Recruitment,"London, UK",60000.0,80000.0,IT Jobs,2026-03-06T15:24:36Z
Lead Data Engineer,Harnham - Data & Analytics Recruitment,"London, UK",110000.0,125000.0,IT Jobs,2026-02-27T14:56:46Z
Senior Data Engineer,Harnham - Data & Analytics Recruitment,"London, UK",80000.0,90000.0,IT Jobs,2026-02-27T14:57:55Z
Senior Data Engineer,Hays Specialist Recruitment Limited,"London, UK",53179.22,53179.22,IT Jobs,2026-03-04T18:47:25Z
GCP Data Engineer,Lime Street Recruitment Limited,"London, UK",54900.65,54900.65,IT Jobs,2026-02-13T15:07:44Z
Structured Cabling Data Engineer,NG Bailey,"London, UK",48304.6,48304.6,IT Jobs,2026-03-09T19:13:18Z
Senior / Lead Data Engineer,Harnham - Data & Analytics Recruitment,"London, UK",80000.0,90000.0,IT Jobs,2026-02-27T14:27:09Z
Lead GCP Data Engineer,Harnham - Data & Analytics Recruitment,"London, UK",80000.0,90000.0,IT Jobs,2026-02-28T04:10:26Z
Junior Data Engineer,Cobalt Recruitment,"London, UK",40000.0,50000.0,IT Jobs,2026-03-02T16:29:36Z
Data Engineer - SC Cleared,VIQU IT Recruitment,"Bishopsgate, Central London",143000.0,169000.0,IT Jobs,2026-03-05T16:08:47Z
Senior Data Engineer AWS,Client Server,"North West London, London",90000.0,90000.0,IT Jobs,2026-03-04T20:14:35Z
Lead Data Engineer - Hybrid working,Ashdown Group,"London, UK",85000.0,90000.0,IT Jobs,2026-03-02T18:31:18Z
Data Engineer,KnoWho,"London, UK",47953.57,47953.57,IT Jobs,2026-02-08T03:58:11Z
AWS Cloud Data Engineer,NEEV LIMITED,"South East London, London",75303.18,75303.18,IT Jobs,2026-03-10T09:05:40Z
Electrician and Data Engineers,Rack Native,"London, UK",78000.0,78000.0,Trade & Construction Jobs,2026-03-04T10:57:44Z
Senior Data Engineer,McCabe & Barton,"London, UK",74708.69,74708.69,IT Jobs,2026-02-16T16:25:26Z
Data Engineer - Tribus,Tribus,"London, UK",72850.74,72850.74,IT Jobs,2026-02-16T16:25:30Z
"Data Engineer Snowflake,DBT, Asset Management",LMA Recruitment,"London, UK",143000.0,156000.0,IT Jobs,2026-02-27T16:07:59Z
Data Engineer AWS Python Kafka,Client Server,"Broadgate, Central London",85000.0,85000.0,IT Jobs,2026-03-06T04:12:26Z
Lead Data Engineer,Mesh-AI,"London, UK",75827.73,75827.73,IT Jobs,2026-03-05T16:15:13Z
Data Engineer (Founding Role),Eka Finance,"London, UK",81645.47,81645.47,IT Jobs,2026-03-01T03:22:06Z
Senior Data Engineer,Mott MacDonald,"London, UK",69188.73,69188.73,IT Jobs,2026-02-14T00:14:15Z
Data Migration Engineer,Tenth Revolution Group,"London, UK",104000.0,117000.0,IT Jobs,2026-02-27T14:56:07Z
Snowflake Data Engineer,NTT Data,"London, UK",77684.89,77684.89,IT Jobs,2026-02-06T14:06:31Z
Data Engineer - Apache Airflow,Norton Blake,"London, UK",45784.59,45784.59,IT Jobs,2026-03-06T15:28:13Z
Contract Azure Data Engineer - £600/pd Outside IR35,Tenth Revolution Group,"London, UK",143000.0,156000.0,IT Jobs,2026-02-27T14:27:41Z
Data Engineer- Global Quant Firm,Oxford Knight,"London, UK",62534.95,62534.95,IT Jobs,2026-02-16T16:25:33Z
"Data Engineering Lead, SVP - Citi",Citi,"London, UK",55383.61,55383.61,IT Jobs,2026-03-01T03:21:53Z
Snowflake Data Engineer - Outside IR35 - Hybrid 3 days a week,Tenth Revolution Group,"London, UK",143000.0,156000.0,IT Jobs,2026-02-27T14:57:22Z
Lead Data Platform Engineer,Harnham - Data & Analytics Recruitment,"London, UK",75000.0,85000.0,IT Jobs,2026-02-27T14:56:13Z
Senior Data Engineer- Global Quant Firm,Oxford Knight,"London, UK",71621.84,71621.84,IT Jobs,2026-02-16T16:25:25Z
Senior Data Engineer- Global Quant Firm,Oxford Knight,"London, UK",68054.18,68054.18,IT Jobs,2026-02-16T16:25:25Z
Data Engineer,Pioneer Search,"The City, Central London",60000.0,70000.0,IT Jobs,2026-03-09T18:27:20Z
Data Engineer,Norton Blake,"London, UK",80000.0,85000.0,IT Jobs,2026-02-26T00:09:51Z
Data Engineer,Vitol,"London, UK",58567.37,58567.37,IT Jobs,2026-02-19T06:00:40Z
Data Engineer,Marcura,"London, UK",58499.65,58499.65,IT Jobs,2026-01-23T15:29:51Z
Data Engineer,Digital Waffle,"The City, Central London",65000.0,85000.0,IT Jobs,2026-03-07T00:23:08Z
Data Engineer,Solirius Reply,"London, UK",60000.0,80000.0,IT Jobs,2026-02-19T12:33:12Z
